business_id,event_id,booking_id,event_type,event_at,status_after,start_after,end_after,staff_id_after,expected_value_ex_gst_after
B001,E00001,B00001,created,2026-06-12T10:00:00+10:00,Booked,2026-06-22T09:00:00+10:00,2026-06-22T11:00:00+10:00,S01,180
B001,E00002,B00001,completed,2026-06-22T11:00:00+10:00,Completed,2026-06-22T09:00:00+10:00,2026-06-22T11:00:00+10:00,S01,180
B001,E00003,B00002,created,2026-06-12T10:00:00+10:00,Booked,2026-06-22T11:00:00+10:00,2026-06-22T13:00:00+10:00,S01,180
B001,E00004,B00002,completed,2026-06-22T13:00:00+10:00,Completed,2026-06-22T11:00:00+10:00,2026-06-22T13:00:00+10:00,S01,180
B001,E00005,B00003,created,2026-06-12T10:00:00+10:00,Booked,2026-06-22T13:00:00+10:00,2026-06-22T15:00:00+10:00,S01,180
B001,E00006,B00003,completed,2026-06-22T15:00:00+10:00,Completed,2026-06-22T13:00:00+10:00,2026-06-22T15:00:00+10:00,S01,180
B001,E00007,B00004,created,2026-06-12T10:00:00+10:00,Booked,2026-06-22T15:00:00+10:00,2026-06-22T17:00:00+10:00,S01,180
B001,E00008,B00004,completed,2026-06-22T17:00:00+10:00,Completed,2026-06-22T15:00:00+10:00,2026-06-22T17:00:00+10:00,S01,180
B001,E00009,B00005,created,2026-06-12T10:00:00+10:00,Booked,2026-06-23T09:00:00+10:00,2026-06-23T11:00:00+10:00,S01,180
B001,E00010,B00005,completed,2026-06-23T11:00:00+10:00,Completed,2026-06-23T09:00:00+10:00,2026-06-23T11:00:00+10:00,S01,180
B001,E00011,B00006,created,2026-06-12T10:00:00+10:00,Booked,2026-06-23T11:00:00+10:00,2026-06-23T13:00:00+10:00,S01,180
B001,E00012,B00006,completed,2026-06-23T13:00:00+10:00,Completed,2026-06-23T11:00:00+10:00,2026-06-23T13:00:00+10:00,S01,180
B001,E00013,B00007,created,2026-06-12T10:00:00+10:00,Booked,2026-06-23T13:00:00+10:00,2026-06-23T15:00:00+10:00,S01,180
B001,E00014,B00007,completed,2026-06-23T15:00:00+10:00,Completed,2026-06-23T13:00:00+10:00,2026-06-23T15:00:00+10:00,S01,180
B001,E00015,B00008,created,2026-06-12T10:00:00+10:00,Booked,2026-06-23T15:00:00+10:00,2026-06-23T17:00:00+10:00,S01,180
B001,E00016,B00008,completed,2026-06-23T17:00:00+10:00,Completed,2026-06-23T15:00:00+10:00,2026-06-23T17:00:00+10:00,S01,180
B001,E00017,B00009,created,2026-06-12T10:00:00+10:00,Booked,2026-06-24T09:00:00+10:00,2026-06-24T11:00:00+10:00,S01,180
B001,E00018,B00009,completed,2026-06-24T11:00:00+10:00,Completed,2026-06-24T09:00:00+10:00,2026-06-24T11:00:00+10:00,S01,180
B001,E00019,B00010,created,2026-06-12T10:00:00+10:00,Booked,2026-06-24T11:00:00+10:00,2026-06-24T13:00:00+10:00,S01,180
B001,E00020,B00010,completed,2026-06-24T13:00:00+10:00,Completed,2026-06-24T11:00:00+10:00,2026-06-24T13:00:00+10:00,S01,180
B001,E00021,B00011,created,2026-06-20T10:00:00+10:00,Booked,2026-06-24T13:00:00+10:00,2026-06-24T14:00:00+10:00,S01,70
B001,E00022,B00011,completed,2026-06-24T14:00:00+10:00,Completed,2026-06-24T13:00:00+10:00,2026-06-24T14:00:00+10:00,S01,70
B001,E00023,B00012,created,2026-06-20T10:00:00+10:00,Booked,2026-06-24T14:00:00+10:00,2026-06-24T15:00:00+10:00,S01,70
B001,E00024,B00012,completed,2026-06-24T15:00:00+10:00,Completed,2026-06-24T14:00:00+10:00,2026-06-24T15:00:00+10:00,S01,70
B001,E00025,B00013,created,2026-06-20T10:00:00+10:00,Booked,2026-06-24T15:00:00+10:00,2026-06-24T16:00:00+10:00,S01,70
B001,E00026,B00013,completed,2026-06-24T16:00:00+10:00,Completed,2026-06-24T15:00:00+10:00,2026-06-24T16:00:00+10:00,S01,70
B001,E00027,B00014,created,2026-06-20T10:00:00+10:00,Booked,2026-06-24T16:00:00+10:00,2026-06-24T17:00:00+10:00,S01,70
B001,E00028,B00014,completed,2026-06-24T17:00:00+10:00,Completed,2026-06-24T16:00:00+10:00,2026-06-24T17:00:00+10:00,S01,70
B001,E00029,B00015,created,2026-06-20T10:00:00+10:00,Booked,2026-06-25T09:00:00+10:00,2026-06-25T10:00:00+10:00,S01,70
B001,E00030,B00015,completed,2026-06-25T10:00:00+10:00,Completed,2026-06-25T09:00:00+10:00,2026-06-25T10:00:00+10:00,S01,70
