business_id,booking_service_id,booking_id,service_id,staff_id,duration_minutes
B001,BSB00001,B00001,SV02,S01,120
B001,BSB00002,B00002,SV02,S01,120
B001,BSB00003,B00003,SV02,S01,120
B001,BSB00004,B00004,SV02,S01,120
B001,BSB00005,B00005,SV02,S01,120
B001,BSB00006,B00006,SV02,S01,120
B001,BSB00007,B00007,SV02,S01,120
B001,BSB00008,B00008,SV02,S01,120
B001,BSB00009,B00009,SV02,S01,120
B001,BSB00010,B00010,SV02,S01,120
B001,BSB00011,B00011,SV01,S01,60
B001,BSB00012,B00012,SV01,S01,60
B001,BSB00013,B00013,SV01,S01,60
B001,BSB00014,B00014,SV01,S01,60
B001,BSB00015,B00015,SV01,S01,60
B001,BSB00016,B00016,SV01,S01,60
B001,BSB00017,B00017,SV01,S01,60
B001,BSB00018,B00018,SV01,S01,60
B001,BSB00019,B00019,SV01,S01,60
B001,BSB00020,B00020,SV01,S01,60
B001,BSB00021,B00021,SV02,S02,120
B001,BSB00022,B00022,SV02,S02,120
B001,BSB00023,B00023,SV02,S02,120
B001,BSB00024,B00024,SV02,S02,120
B001,BSB00025,B00025,SV02,S02,120
B001,BSB00026,B00026,SV02,S02,120
B001,BSB00027,B00027,SV02,S02,120
B001,BSB00028,B00028,SV02,S02,120
B001,BSB00029,B00029,SV02,S02,120
B001,BSB00030,B00030,SV02,S02,120
B001,BSB00031,B00031,SV01,S02,60
B001,BSB00032,B00032,SV01,S02,60
B001,BSB00033,B00033,SV01,S02,60
B001,BSB00034,B00034,SV01,S02,60
B001,BSB00035,B00035,SV01,S02,60
B001,BSB00036,B00036,SV01,S02,60
B001,BSB00037,B00037,SV01,S02,60
B001,BSB00038,B00038,SV01,S02,60
B001,BSB00039,B00039,SV01,S02,60
B001,BSB00040,B00040,SV01,S02,60
B001,BSB00041,B00041,SV02,S03,120
B001,BSB00042,B00042,SV02,S03,120
B001,BSB00043,B00043,SV02,S03,120
B001,BSB00044,B00044,SV02,S03,120
B001,BSB00045,B00045,SV02,S03,120
B001,BSB00046,B00046,SV02,S03,120
B001,BSB00047,B00047,SV02,S03,120
B001,BSB00048,B00048,SV02,S03,120
B001,BSB00049,B00049,SV02,S03,120
B001,BSB00050,B00050,SV02,S03,120
B001,BSB00051,B00051,SV02,S03,120
B001,BSB00052,B00052,SV02,S03,120
B001,BSB00053,B00053,SV01,S03,60
B001,BSB00054,B00054,SV01,S03,60
B001,BSB00055,B00055,SV01,S03,60
B001,BSB00056,B00056,SV01,S03,60
B001,BSB00057,B00057,SV01,S03,60
B001,BSB00058,B00058,SV01,S03,60
B001,BSB00059,B00059,SV02,S01,120
