customer_id,customer_name,email,first_completed_visit_date,first_visit_source,preferred_staff_name,contact_permission
C0001,Olivia Nguyen,customer0001@example.com,21/12/2024,Imported customer master,Sarah,yes
C0002,Amelia Nguyen,customer0002@example.com,26/11/2025,Imported customer master,Sam,yes
C0003,Charlotte Nguyen,customer0003@example.com,27/5/2024,Imported customer master,Sam,yes
C0004,Isla Nguyen,customer0004@example.com,17/11/2025,Imported customer master,Matthew,yes
C0005,Mia Nguyen,customer0005@example.com,18/5/2024,Imported customer master,Sarah,yes
C0006,Ava Nguyen,customer0006@example.com,13/12/2025,Imported customer master,Sam,yes
C0007,Grace Nguyen,customer0007@example.com,1/9/2025,Imported customer master,Sarah,yes
C0008,Chloe Nguyen,customer0008@example.com,3/7/2024,Imported customer master,Sam,yes
C0009,Zoe Nguyen,customer0009@example.com,8/5/2024,Imported customer master,Sarah,yes
C0010,Lily Nguyen,customer0010@example.com,30/9/2025,Imported customer master,Sarah,yes
C0011,Emily Nguyen,customer0011@example.com,29/9/2025,Imported customer master,Sarah,yes
C0012,Sophie Nguyen,customer0012@example.com,29/8/2025,Imported customer master,Matthew,yes
C0013,Ella Nguyen,customer0013@example.com,27/4/2024,Imported customer master,Sam,yes
C0014,Ruby Nguyen,customer0014@example.com,19/12/2024,Imported customer master,Sarah,yes
C0015,Lucy Nguyen,customer0015@example.com,19/11/2025,Imported customer master,Matthew,yes
C0016,Jessica Nguyen,customer0016@example.com,21/9/2024,Imported customer master,Matthew,yes
C0017,Emma Nguyen,customer0017@example.com,2/10/2025,Imported customer master,Matthew,yes
C0018,Hannah Nguyen,customer0018@example.com,22/8/2024,Imported customer master,Sarah,yes
C0019,Sienna Nguyen,customer0019@example.com,5/10/2025,Imported customer master,Sarah,yes
C0020,Sofia Nguyen,customer0020@example.com,21/6/2025,Imported customer master,Sam,yes
C0021,Noah Nguyen,customer0021@example.com,20/5/2024,Imported customer master,Matthew,yes
C0022,Oliver Nguyen,customer0022@example.com,14/8/2025,Imported customer master,Sarah,yes
C0023,Jack Nguyen,customer0023@example.com,9/10/2024,Imported customer master,Matthew,yes
C0024,Henry Nguyen,customer0024@example.com,29/1/2026,Imported customer master,Sarah,yes
C0025,Leo Nguyen,customer0025@example.com,2/9/2025,Imported customer master,Matthew,yes
C0026,Liam Nguyen,customer0026@example.com,9/1/2025,Imported customer master,Matthew,yes
C0027,Lucas Nguyen,customer0027@example.com,26/12/2025,Imported customer master,Matthew,yes
C0028,William Nguyen,customer0028@example.com,24/9/2024,Imported customer master,Sarah,yes
C0029,James Nguyen,customer0029@example.com,9/4/2025,Imported customer master,Sam,yes
C0030,Ethan Nguyen,customer0030@example.com,13/10/2024,Imported customer master,Sam,yes
C0031,Aria Nguyen,customer0031@example.com,15/11/2024,Imported customer master,Sarah,yes
C0032,Layla Nguyen,customer0032@example.com,11/9/2025,Imported customer master,Sarah,yes
C0033,Harper Nguyen,customer0033@example.com,14/8/2024,Imported customer master,Matthew,yes
C0034,Alice Nguyen,customer0034@example.com,30/11/2025,Imported customer master,Sarah,yes
C0035,Ivy Nguyen,customer0035@example.com,2/8/2025,Imported customer master,Sam,yes
C0036,Willow Nguyen,customer0036@example.com,8/12/2025,Imported customer master,Sarah,yes
C0037,Olivia Smith,customer0037@example.com,23/6/2025,Imported customer master,Sarah,yes
C0038,Amelia Smith,customer0038@example.com,29/12/2024,Imported customer master,Matthew,yes
C0039,Charlotte Smith,customer0039@example.com,1/11/2024,Imported customer master,Sam,yes
C0040,Isla Smith,customer0040@example.com,12/10/2025,Imported customer master,Matthew,yes
C0041,Mia Smith,customer0041@example.com,28/2/2025,Imported customer master,Matthew,yes
C0042,Ava Smith,customer0042@example.com,2/5/2024,Imported customer master,Sarah,yes
C0043,Grace Smith,customer0043@example.com,30/9/2024,Imported customer master,Matthew,yes
C0044,Chloe Smith,customer0044@example.com,1/5/2024,Imported customer master,Matthew,yes
C0045,Zoe Smith,customer0045@example.com,28/7/2025,Imported customer master,Sam,yes
C0046,Lily Smith,customer0046@example.com,2/12/2024,Imported customer master,Sarah,yes
C0047,Emily Smith,customer0047@example.com,8/6/2024,Imported customer master,Sam,yes
C0048,Sophie Smith,customer0048@example.com,24/10/2024,Imported customer master,Sam,yes
C0049,Ella Smith,customer0049@example.com,15/9/2024,Imported customer master,Sam,yes
C0050,Ruby Smith,customer0050@example.com,13/6/2024,Imported customer master,Matthew,yes
C0051,Lucy Smith,customer0051@example.com,8/4/2024,Imported customer master,Sam,yes
C0052,Jessica Smith,customer0052@example.com,2/3/2025,Imported customer master,Sarah,yes
C0053,Emma Smith,customer0053@example.com,9/10/2024,Imported customer master,Sam,yes
C0054,Hannah Smith,customer0054@example.com,27/7/2025,Imported customer master,Sarah,yes
C0055,Sienna Smith,customer0055@example.com,9/1/2026,Imported customer master,Sam,yes
C0056,Sofia Smith,customer0056@example.com,9/10/2025,Imported customer master,Matthew,yes
C0057,Noah Smith,customer0057@example.com,26/8/2025,Imported customer master,Sarah,yes
C0058,Oliver Smith,customer0058@example.com,27/1/2026,Imported customer master,Sam,yes
C0059,Jack Smith,customer0059@example.com,10/2/2025,Imported customer master,Sam,yes
C0060,Henry Smith,customer0060@example.com,1/10/2024,Imported customer master,Sam,yes
C0061,Leo Smith,customer0061@example.com,14/4/2024,Imported customer master,Matthew,yes
C0062,Liam Smith,customer0062@example.com,27/5/2024,Imported customer master,Sarah,yes
C0063,Lucas Smith,customer0063@example.com,8/6/2024,Imported customer master,Sarah,yes
C0064,William Smith,customer0064@example.com,2/7/2025,Imported customer master,Sarah,yes
C0065,James Smith,customer0065@example.com,28/1/2025,Imported customer master,Matthew,yes
C0066,Ethan Smith,customer0066@example.com,19/4/2024,Imported customer master,Sarah,yes
C0067,Aria Smith,customer0067@example.com,18/6/2024,Imported customer master,Matthew,yes
C0068,Layla Smith,customer0068@example.com,1/7/2025,Imported customer master,Sam,yes
C0069,Harper Smith,customer0069@example.com,5/8/2025,Imported customer master,Sam,yes
C0070,Alice Smith,customer0070@example.com,28/9/2025,Imported customer master,Matthew,yes
C0071,Ivy Smith,customer0071@example.com,15/9/2024,Imported customer master,Sam,yes
C0072,Willow Smith,customer0072@example.com,22/9/2025,Imported customer master,Sam,yes
C0073,Olivia Wilson,customer0073@example.com,27/10/2025,Imported customer master,Sarah,yes
C0074,Amelia Wilson,customer0074@example.com,6/1/2026,Imported customer master,Matthew,yes
C0075,Charlotte Wilson,customer0075@example.com,22/12/2025,Imported customer master,Matthew,yes
C0076,Isla Wilson,customer0076@example.com,23/11/2024,Imported customer master,Matthew,yes
C0077,Mia Wilson,customer0077@example.com,21/5/2024,Imported customer master,Sam,yes
C0078,Ava Wilson,customer0078@example.com,5/1/2025,Imported customer master,Sam,yes
C0079,Grace Wilson,customer0079@example.com,21/3/2025,Imported customer master,Sarah,yes
C0080,Chloe Wilson,customer0080@example.com,20/12/2025,Imported customer master,Matthew,yes
C0081,Zoe Wilson,customer0081@example.com,9/3/2025,Imported customer master,Sarah,yes
C0082,Lily Wilson,customer0082@example.com,27/5/2024,Imported customer master,Sarah,yes
