business_id,booking_id,customer_id,staff_id,appointment_start,appointment_end,booking_created_at,status,expected_value_ex_gst,booking_source
B001,B00001,C0001,S01,2026-06-22T09:00:00+10:00,2026-06-22T11:00:00+10:00,2026-06-12T10:00:00+10:00, done ,180,phone
B001,B00002,C0002,S01,2026-06-22T11:00:00+10:00,2026-06-22T13:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,WEB APP
B001,B00003,C0003,S01,22/06/2026 13:00,2026-06-22T15:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,walk_in
B001,B00004,C0004,S Wong,2026-06-22T15:00:00+10:00,2026-06-22T17:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,phone
B001,B00005,C0005,S01,2026-06-23T09:00:00+10:00,2026-06-23T11:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,online
B001,B00006,C0006,S01,2026-06-23T11:00:00+10:00,2026-06-23T13:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,walk_in
B001,B00007,C0007,S01,2026-06-23T13:00:00+10:00,2026-06-23T15:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,phone
B001,B00008,C0008,S01,2026-06-23T15:00:00+10:00,2026-06-23T17:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,online
B001,B00009,C0009,S01,2026-06-24T09:00:00+10:00,2026-06-24T11:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,walk_in
B001,B00010,C0010,S01,2026-06-24T11:00:00+10:00,2026-06-24T13:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,phone
B001,B00011,C0011,S01,2026-06-24T13:00:00+10:00,2026-06-24T14:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,online
B001,B00012,C0012,S01,2026-06-24T14:00:00+10:00,2026-06-24T15:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,walk_in
B001,B00013,C0013,S01,2026-06-24T15:00:00+10:00,2026-06-24T16:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,phone
B001,B00014,C0014,S01,2026-06-24T16:00:00+10:00,2026-06-24T17:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,online
B001,B00015,C0015,S01,2026-06-25T09:00:00+10:00,2026-06-25T10:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,walk_in
B001,B00016,C0016,S01,2026-06-25T10:00:00+10:00,2026-06-25T11:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,phone
B001,B00017,C0017,S01,2026-06-25T11:00:00+10:00,2026-06-25T12:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,online
B001,B00018,C0018,S01,2026-06-25T12:00:00+10:00,2026-06-25T13:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,walk_in
B001,B00019,C0019,S01,2026-06-25T13:00:00+10:00,2026-06-25T14:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,phone
B001,B00020,C0020,S01,2026-06-25T14:00:00+10:00,2026-06-25T15:00:00+10:00,2026-06-20T10:00:00+10:00,Completed,70,online
B001,B00021,C0021,S02,2026-06-22T09:00:00+10:00,2026-06-22T11:00:00+10:00,2026-06-12T10:00:00+10:00,Completed,180,walk_in
