customer_id,customer_name,completed_visits_in_history,last_completed_visit_date,median_visit_interval_days,estimated_due_date,days_overdue,future_appointment_id,recent_followup_count,last_service_id,estimated_repeat_service_hours,estimated_repeat_service_value_aud,action
C0190,Lily Singh,3,16/6/2026,44,30/7/2026,45,,0,SV03,1,100,Review and contact
C0077,Mia Wilson,4,7/7/2026,35,11/8/2026,33,,0,SV03,1,100,Review and contact
C0181,Olivia Singh,4,8/7/2026,34,11/8/2026,33,,0,SV01,0.5,40,Review and contact
C0142,Alice Taylor,4,13/7/2026,35,17/8/2026,27,,0,SV04,2,240,Review and contact
C0216,Willow Singh,4,14/7/2026,34,17/8/2026,27,,0,SV01,0.5,40,Review and contact
C0046,Lily Smith,4,14/7/2026,35,18/8/2026,26,,0,SV04,2,240,Review and contact
C0052,Jessica Smith,4,14/7/2026,35,18/8/2026,26,,0,SV01,0.5,40,Review and contact
C0094,Oliver Wilson,4,15/7/2026,34,18/8/2026,26,,0,SV01,0.5,40,Review and contact
C0199,Sienna Singh,4,15/7/2026,35,19/8/2026,25,,0,SV01,0.5,40,Review and contact
C0063,Lucas Smith,4,17/7/2026,34,20/8/2026,24,,0,SV06,3,390,Review and contact
C0196,Jessica Singh,4,15/7/2026,36,20/8/2026,24,,0,SV01,0.5,40,Review and contact
C0029,James Nguyen,4,15/7/2026,37,21/8/2026,23,,0,SV01,0.5,40,Review and contact
C0084,Sophie Wilson,4,14/7/2026,39,22/8/2026,22,,0,SV04,2,240,Review and contact
C0043,Grace Smith,4,20/7/2026,34,23/8/2026,21,,0,SV01,0.5,40,Review and contact
C0168,Henry Chen,4,15/7/2026,39,23/8/2026,21,,0,SV01,0.5,40,Review and contact
C0144,Willow Taylor,4,21/7/2026,35,25/8/2026,19,,0,SV01,0.5,40,Review and contact
C0130,Oliver Taylor,4,15/7/2026,42,26/8/2026,18,,0,SV01,0.5,40,Review and contact
C0245,James Brown,3,10/7/2026,47,26/8/2026,18,,0,SV06,3,390,Review and contact
C0279,Lucas Williams,3,13/7/2026,45,27/8/2026,17,,0,SV05,2.5,325,Review and contact
C0269,Emma Williams,3,14/7/2026,46,29/8/2026,15,,0,SV03,1,100,Review and contact
C0071,Ivy Smith,4,21/7/2026,40,30/8/2026,14,,0,SV02,0.75,60,Review and contact
C0085,Ella Wilson,3,13/7/2026,48,30/8/2026,14,,0,SV03,1,100,Review and contact
C0089,Emma Wilson,4,22/7/2026,39,30/8/2026,14,,0,SV01,0.5,40,Review and contact
C0118,Lily Taylor,3,13/7/2026,48,30/8/2026,14,,0,SV03,1,100,Review and contact
C0264,Sophie Williams,3,15/7/2026,46,30/8/2026,14,,0,SV01,0.5,40,Review and contact
C0116,Chloe Taylor,3,13/7/2026,49,31/8/2026,13,,0,SV04,2,240,Review and contact
C0246,Ethan Brown,3,14/7/2026,48,31/8/2026,13,,0,SV02,0.75,60,Review and contact
C0014,Ruby Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV02,0.75,60,Review and contact
C0016,Jessica Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV04,2,240,Review and contact
C0019,Sienna Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV03,1,100,Review and contact
C0020,Sofia Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV04,2,240,Review and contact
C0022,Oliver Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV02,0.75,60,Review and contact
C0023,Jack Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV03,1,100,Review and contact
C0024,Henry Nguyen,4,21/7/2026,42,1/9/2026,12,,0,SV04,2,240,Review and contact
C0090,Hannah Wilson,4,27/7/2026,36,1/9/2026,12,,0,SV03,1,100,Review and contact
C0202,Oliver Singh,4,22/7/2026,41,1/9/2026,12,,0,SV01,0.5,40,Review and contact
C0242,Liam Brown,3,14/7/2026,49,1/9/2026,12,,0,SV02,0.75,60,Review and contact
C0013,Ella Nguyen,4,22/7/2026,42,2/9/2026,11,,0,SV01,0.5,40,Review and contact
