capacity_id,staff_name,work_date,week_start,shift_start,shift_end,bookable_hours
CP0001,Sarah,16/3/2026,16/3/2026,2026-03-16T09:00:00,2026-03-16T17:00:00,8
CP0002,Sarah,17/3/2026,16/3/2026,2026-03-17T09:00:00,2026-03-17T17:00:00,8
CP0003,Sarah,18/3/2026,16/3/2026,2026-03-18T09:00:00,2026-03-18T17:00:00,8
CP0004,Sarah,19/3/2026,16/3/2026,2026-03-19T09:00:00,2026-03-19T17:00:00,8
CP0005,Sarah,20/3/2026,16/3/2026,2026-03-20T09:00:00,2026-03-20T15:00:00,6
CP0006,Matthew,16/3/2026,16/3/2026,2026-03-16T09:00:00,2026-03-16T17:00:00,8
CP0007,Matthew,17/3/2026,16/3/2026,2026-03-17T09:00:00,2026-03-17T17:00:00,8
CP0008,Matthew,18/3/2026,16/3/2026,2026-03-18T09:00:00,2026-03-18T17:00:00,8
CP0009,Matthew,19/3/2026,16/3/2026,2026-03-19T09:00:00,2026-03-19T17:00:00,8
CP0010,Matthew,20/3/2026,16/3/2026,2026-03-20T09:00:00,2026-03-20T15:00:00,6
CP0011,Sam,16/3/2026,16/3/2026,2026-03-16T09:00:00,2026-03-16T17:00:00,8
CP0012,Sam,17/3/2026,16/3/2026,2026-03-17T09:00:00,2026-03-17T17:00:00,8
CP0013,Sam,18/3/2026,16/3/2026,2026-03-18T09:00:00,2026-03-18T17:00:00,8
CP0014,Sam,19/3/2026,16/3/2026,2026-03-19T09:00:00,2026-03-19T17:00:00,8
CP0015,Sam,20/3/2026,16/3/2026,2026-03-20T09:00:00,2026-03-20T15:00:00,6
CP0016,Sarah,23/3/2026,23/3/2026,2026-03-23T09:00:00,2026-03-23T17:00:00,8
CP0017,Sarah,24/3/2026,23/3/2026,2026-03-24T09:00:00,2026-03-24T17:00:00,8
CP0018,Sarah,25/3/2026,23/3/2026,2026-03-25T09:00:00,2026-03-25T17:00:00,8
CP0019,Sarah,26/3/2026,23/3/2026,2026-03-26T09:00:00,2026-03-26T17:00:00,8
CP0020,Sarah,27/3/2026,23/3/2026,2026-03-27T09:00:00,2026-03-27T15:00:00,6
CP0021,Matthew,23/3/2026,23/3/2026,2026-03-23T09:00:00,2026-03-23T17:00:00,8
CP0022,Matthew,24/3/2026,23/3/2026,2026-03-24T09:00:00,2026-03-24T17:00:00,8
CP0023,Matthew,25/3/2026,23/3/2026,2026-03-25T09:00:00,2026-03-25T17:00:00,8
CP0024,Matthew,26/3/2026,23/3/2026,2026-03-26T09:00:00,2026-03-26T17:00:00,8
CP0025,Matthew,27/3/2026,23/3/2026,2026-03-27T09:00:00,2026-03-27T15:00:00,6
CP0026,Sam,23/3/2026,23/3/2026,2026-03-23T09:00:00,2026-03-23T17:00:00,8
CP0027,Sam,24/3/2026,23/3/2026,2026-03-24T09:00:00,2026-03-24T17:00:00,8
CP0028,Sam,25/3/2026,23/3/2026,2026-03-25T09:00:00,2026-03-25T17:00:00,8
CP0029,Sam,26/3/2026,23/3/2026,2026-03-26T09:00:00,2026-03-26T17:00:00,8
CP0030,Sam,27/3/2026,23/3/2026,2026-03-27T09:00:00,2026-03-27T15:00:00,6
CP0031,Sarah,30/3/2026,30/3/2026,2026-03-30T09:00:00,2026-03-30T17:00:00,8
CP0032,Sarah,31/3/2026,30/3/2026,2026-03-31T09:00:00,2026-03-31T17:00:00,8
CP0033,Sarah,1/4/2026,30/3/2026,2026-04-01T09:00:00,2026-04-01T17:00:00,8
CP0034,Sarah,2/4/2026,30/3/2026,2026-04-02T09:00:00,2026-04-02T17:00:00,8
CP0035,Sarah,3/4/2026,30/3/2026,2026-04-03T09:00:00,2026-04-03T15:00:00,6
CP0036,Matthew,30/3/2026,30/3/2026,2026-03-30T09:00:00,2026-03-30T17:00:00,8
CP0037,Matthew,31/3/2026,30/3/2026,2026-03-31T09:00:00,2026-03-31T17:00:00,8
CP0038,Matthew,1/4/2026,30/3/2026,2026-04-01T09:00:00,2026-04-01T17:00:00,8
CP0039,Matthew,2/4/2026,30/3/2026,2026-04-02T09:00:00,2026-04-02T17:00:00,8
CP0040,Matthew,3/4/2026,30/3/2026,2026-04-03T09:00:00,2026-04-03T15:00:00,6
CP0041,Sam,30/3/2026,30/3/2026,2026-03-30T09:00:00,2026-03-30T17:00:00,8
CP0042,Sam,31/3/2026,30/3/2026,2026-03-31T09:00:00,2026-03-31T17:00:00,8
CP0043,Sam,1/4/2026,30/3/2026,2026-04-01T09:00:00,2026-04-01T17:00:00,8
CP0044,Sam,2/4/2026,30/3/2026,2026-04-02T09:00:00,2026-04-02T17:00:00,8
CP0045,Sam,3/4/2026,30/3/2026,2026-04-03T09:00:00,2026-04-03T15:00:00,6
CP0046,Sarah,6/4/2026,6/4/2026,2026-04-06T09:00:00,2026-04-06T17:00:00,8
CP0047,Sarah,7/4/2026,6/4/2026,2026-04-07T09:00:00,2026-04-07T17:00:00,8
CP0048,Sarah,8/4/2026,6/4/2026,2026-04-08T09:00:00,2026-04-08T17:00:00,8
CP0049,Sarah,9/4/2026,6/4/2026,2026-04-09T09:00:00,2026-04-09T17:00:00,8
CP0050,Sarah,10/4/2026,6/4/2026,2026-04-10T09:00:00,2026-04-10T15:00:00,6
CP0051,Matthew,6/4/2026,6/4/2026,2026-04-06T09:00:00,2026-04-06T17:00:00,8
CP0052,Matthew,7/4/2026,6/4/2026,2026-04-07T09:00:00,2026-04-07T17:00:00,8
CP0053,Matthew,8/4/2026,6/4/2026,2026-04-08T09:00:00,2026-04-08T17:00:00,8
CP0054,Matthew,9/4/2026,6/4/2026,2026-04-09T09:00:00,2026-04-09T17:00:00,8
CP0055,Matthew,10/4/2026,6/4/2026,2026-04-10T09:00:00,2026-04-10T15:00:00,6
CP0056,Sam,6/4/2026,6/4/2026,2026-04-06T09:00:00,2026-04-06T17:00:00,8
CP0057,Sam,7/4/2026,6/4/2026,2026-04-07T09:00:00,2026-04-07T17:00:00,8
CP0058,Sam,8/4/2026,6/4/2026,2026-04-08T09:00:00,2026-04-08T17:00:00,8
CP0059,Sam,9/4/2026,6/4/2026,2026-04-09T09:00:00,2026-04-09T17:00:00,8
CP0060,Sam,10/4/2026,6/4/2026,2026-04-10T09:00:00,2026-04-10T15:00:00,6
CP0061,Sarah,13/4/2026,13/4/2026,2026-04-13T09:00:00,2026-04-13T17:00:00,8
CP0062,Sarah,14/4/2026,13/4/2026,2026-04-14T09:00:00,2026-04-14T17:00:00,8
CP0063,Sarah,15/4/2026,13/4/2026,2026-04-15T09:00:00,2026-04-15T17:00:00,8
CP0064,Sarah,16/4/2026,13/4/2026,2026-04-16T09:00:00,2026-04-16T17:00:00,8
CP0065,Sarah,17/4/2026,13/4/2026,2026-04-17T09:00:00,2026-04-17T15:00:00,6
CP0066,Matthew,13/4/2026,13/4/2026,2026-04-13T09:00:00,2026-04-13T17:00:00,8
CP0067,Matthew,14/4/2026,13/4/2026,2026-04-14T09:00:00,2026-04-14T17:00:00,8
