business_id,transaction_item_id,transaction_id,item_id,staff_id,quantity,gross_amount_ex_gst,discount_ex_gst,refund_ex_gst,net_amount_ex_gst,direct_cost,original_transaction_item_id
B001,L00001,T00001,SV02,S01,1,180,0,0,AUD 180,30,
B001,L00002,T00002,SV02,S01,1,180,0,0,180,30,
B001,L00003,T00003,SV02,S01,1,180,0,0,180,30,
B001,L00004,T00004,SV02,S01,1,180,0,0,180,30,
B001,L00005,T00005,SV02,S01,1,180,0,0,180,30,
B001,L00006,T00006,SV02,S01,1,180,0,0,180,30,
B001,L00007,T00007,SV02,S01,1,180,0,0,180,30,
B001,L00008,T00008,SV02,S01,1,180,0,0,180,30,
B001,L00009,T00009,SV02,S01,1,180,0,0,180,30,
B001,L00010,T00010,SV02,S01,1,180,0,0,180,30,
B001,L00011,T00011,SV01,S01,1,70,0,0,70,5,
B001,L00012,T00012,SV01,S01,1,70,0,0,70,5,
B001,L00013,T00013,SV01,S01,1,70,0,0,70,5,
B001,L00014,T00014,SV01,S01,1,70,0,0,70,5,
B001,L00015,T00015,SV01,S01,1,70,0,0,70,5,
B001,L00016,T00016,SV01,S01,1,70,0,0,70,5,
B001,L00017,T00017,SV01,S01,1,70,0,0,70,5,
B001,L00018,T00018,SV01,S01,1,70,0,0,70,5,
B001,L00019,T00019,SV01,S01,1,70,0,0,70,5,
B001,L00020,T00020,SV01,S01,1,70,0,0,70,5,
B001,L00021,T00001,P01,S01,1,30,0,0,30,12,
B001,L00022,T00002,P01,S01,1,30,0,0,30,12,
B001,L00023,T00003,P01,S01,1,30,0,0,30,12,
B001,L00024,T00004,P01,S01,1,30,0,0,30,12,
B001,L00025,T00005,P01,S01,1,30,0,0,30,12,
B001,L00026,T00021,SV02,S02,1,180,0,0,180,30,
B001,L00027,T00022,SV02,S02,1,180,0,0,180,30,
B001,L00028,T00023,SV02,S02,1,180,0,0,180,30,
B001,L00029,T00024,SV02,S02,1,180,0,0,180,30,
B001,L00030,T00025,SV02,S02,1,180,0,0,180,30,
B001,L00031,T00026,SV02,S02,1,180,0,0,180,30,
B001,L00032,T00027,SV02,S02,1,180,0,0,180,30,
B001,L00033,T00028,SV02,S02,1,180,0,0,180,30,
B001,L00034,T00029,SV02,S02,1,180,0,0,180,30,
B001,L00035,T00030,SV02,S02,1,180,0,0,180,30,
B001,L00036,T00031,SV01,S02,1,70,0,0,70,5,
B001,L00037,T00032,SV01,S02,1,70,0,0,70,5,
B001,L00038,T00033,SV01,S02,1,70,0,0,70,5,
B001,L00039,T00034,SV01,S02,1,70,0,0,70,5,
B001,L00040,T00035,SV01,S02,1,70,0,0,70,5,
B001,L00041,T00036,SV01,S02,1,70,0,0,70,5,
B001,L00042,T00037,SV01,S02,1,70,0,0,70,5,
B001,L00043,T00038,SV01,S02,1,70,0,0,70,5,
B001,L00044,T00039,SV01,S02,1,70,0,0,70,5,
B001,L00045,T00040,SV01,S02,1,70,0,0,70,5,
B001,L00046,T00021,P01,S02,1,30,0,0,30,12,
B001,L00047,T00022,P01,S02,1,30,0,0,30,12,
B001,L00048,T00023,P01,S02,1,30,0,0,30,12,
B001,L00049,T00041,SV02,S03,1,180,0,0,180,30,
B001,L00050,T00042,SV02,S03,1,180,0,0,180,30,
B001,L00051,T00043,SV02,S03,1,180,0,0,180,30,
B001,L00052,T00044,SV02,S03,1,180,0,0,180,30,
B001,L00053,T00045,SV02,S03,1,180,0,0,180,30,
B001,L00054,T00046,SV02,S03,1,180,0,0,180,30,
B001,L00055,T00047,SV02,S03,1,180,0,0,180,30,
B001,L00056,T00048,SV02,S03,1,180,0,0,180,30,
B001,L00057,T00049,SV02,S03,1,180,0,0,180,30,
B001,L00058,T00050,SV02,S03,1,180,0,0,180,30,
B001,L00059,T00051,SV02,S03,1,180,0,0,180,30,
